key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXjrjxmkDsuk3SE5e13h,csharpsquid:S2486,CRITICAL,obi.obi-backend:Obi.Domain/ServicioTransferencias.cs,obi.obi-backend,183,OPEN,Handle the exception or explain in a comment why it can be ignored.,1h,2021-04-19T16:15:18-0300,2021-04-19T16:15:18-0300,VULNERABILITY
AXjrjxmkDsuk3SE5e13i,csharpsquid:S2486,CRITICAL,obi.obi-backend:Obi.Domain/ServicioTransferencias.cs,obi.obi-backend,193,OPEN,Handle the exception or explain in a comment why it can be ignored.,1h,2021-04-19T16:15:18-0300,2021-04-19T16:15:18-0300,VULNERABILITY
AXeHdVNvDsuk3SE5XMNc,csharpsquid:S2486,CRITICAL,obi.obi-backend:Obi.Domain/ServicioTransferencias.cs,obi.obi-backend,219,OPEN,Handle the exception or explain in a comment why it can be ignored.,1h,2021-02-09T12:42:19-0300,2021-02-09T12:42:19-0300,VULNERABILITY
AXeHdVNvDsuk3SE5XMNd,csharpsquid:S2486,CRITICAL,obi.obi-backend:Obi.Domain/ServicioTransferencias.cs,obi.obi-backend,291,OPEN,Handle the exception or explain in a comment why it can be ignored.,1h,2021-02-09T12:42:19-0300,2021-02-09T12:42:19-0300,VULNERABILITY
