key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXv1SM_YFhMNhOYS9Zge,csharpsquid:S4423,CRITICAL,online-banking-empresas.api-permisos-empresa:Infrastructure/api_permisos_empresa.Infrastructure.WebService/ServiceRegistration.cs,online-banking-empresas.api-permisos-empresa,22,OPEN,Change this code to use a stronger protocol.,2min,2021-09-17T16:43:08-0300,2021-09-17T16:43:08-0300,VULNERABILITY
AXv1SM_YFhMNhOYS9Zgf,csharpsquid:S4423,CRITICAL,online-banking-empresas.api-permisos-empresa:Infrastructure/api_permisos_empresa.Infrastructure.WebService/ServiceRegistration.cs,online-banking-empresas.api-permisos-empresa,22,OPEN,Change this code to use a stronger protocol.,2min,2021-09-17T16:43:08-0300,2021-09-17T16:43:08-0300,VULNERABILITY
AXv1SM_YFhMNhOYS9Zgc,csharpsquid:S4830,CRITICAL,online-banking-empresas.api-permisos-empresa:Infrastructure/api_permisos_empresa.Infrastructure.WebService/ServiceRegistration.cs,online-banking-empresas.api-permisos-empresa,33,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-09-17T16:43:08-0300,2021-09-17T16:43:08-0300,VULNERABILITY
AXv1SM_YFhMNhOYS9Zgd,csharpsquid:S4830,CRITICAL,online-banking-empresas.api-permisos-empresa:Infrastructure/api_permisos_empresa.Infrastructure.WebService/ServiceRegistration.cs,online-banking-empresas.api-permisos-empresa,53,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-09-17T16:43:08-0300,2021-09-17T16:43:08-0300,VULNERABILITY
