key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXus7KQyoWipgQEOHj7i,csharpsquid:S4830,CRITICAL,usuarios.bff-usuarios:Spv.Usuarios.Bff/Clients/HttpClientServiceExtension.cs,usuarios.bff-usuarios,51,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-09-02T10:19:31-0300,2021-09-02T10:19:31-0300,VULNERABILITY
AXuJpVBMoWipgQEOd77E,csharpsquid:S4423,CRITICAL,usuarios.bff-usuarios:Spv.Usuarios.Bff/Clients/HttpClientServiceExtension.cs,usuarios.bff-usuarios,25,OPEN,Change this code to use a stronger protocol.,2min,2021-05-26T12:45:37-0300,2021-08-27T19:05:03-0300,VULNERABILITY
AXuJpVBMoWipgQEOd77F,csharpsquid:S4423,CRITICAL,usuarios.bff-usuarios:Spv.Usuarios.Bff/Clients/HttpClientServiceExtension.cs,usuarios.bff-usuarios,25,OPEN,Change this code to use a stronger protocol.,2min,2021-05-26T12:45:37-0300,2021-08-27T19:05:03-0300,VULNERABILITY
AXuJpVBMoWipgQEOd77G,csharpsquid:S4830,CRITICAL,usuarios.bff-usuarios:Spv.Usuarios.Bff/Clients/HttpClientServiceExtension.cs,usuarios.bff-usuarios,70,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-05-26T12:45:37-0300,2021-08-27T19:05:03-0300,VULNERABILITY
