key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXw9vhmuFhMNhOYST2Zx,csharpsquid:S4423,CRITICAL,factura-credito.ms-factura-credito-compensadas-impagas:Infrastructure/MS.Factura.Credito.CompensadasImpagas.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.ms-factura-credito-compensadas-impagas,22,OPEN,Change this code to use a stronger protocol.,2min,2021-10-01T18:23:53-0300,2021-10-01T18:23:53-0300,VULNERABILITY
AXw9vhmuFhMNhOYST2Zy,csharpsquid:S4423,CRITICAL,factura-credito.ms-factura-credito-compensadas-impagas:Infrastructure/MS.Factura.Credito.CompensadasImpagas.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.ms-factura-credito-compensadas-impagas,22,OPEN,Change this code to use a stronger protocol.,2min,2021-10-01T18:23:53-0300,2021-10-01T18:23:53-0300,VULNERABILITY
AXw9vhmuFhMNhOYST2Zv,csharpsquid:S4830,CRITICAL,factura-credito.ms-factura-credito-compensadas-impagas:Infrastructure/MS.Factura.Credito.CompensadasImpagas.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.ms-factura-credito-compensadas-impagas,37,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-10-01T18:23:53-0300,2021-10-01T18:23:53-0300,VULNERABILITY
AXw9vhmuFhMNhOYST2Zw,csharpsquid:S4830,CRITICAL,factura-credito.ms-factura-credito-compensadas-impagas:Infrastructure/MS.Factura.Credito.CompensadasImpagas.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.ms-factura-credito-compensadas-impagas,56,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-10-01T18:23:53-0300,2021-10-01T18:23:53-0300,VULNERABILITY
