key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXwstnWgFhMNhOYS4nkx,java:S4830,CRITICAL,spv-commons-maven.spv-commons-network:src/main/java/com/supervielle/assets/network/util/SSLUtils.java,spv-commons-maven.spv-commons-network,28,OPEN,Enable server certificate validation on this SSL/TLS connection.,5min,2020-12-04T14:46:51-0300,2021-09-28T11:01:57-0300,VULNERABILITY
AXwstnWgFhMNhOYS4nky,java:S4830,CRITICAL,spv-commons-maven.spv-commons-network:src/main/java/com/supervielle/assets/network/util/SSLUtils.java,spv-commons-maven.spv-commons-network,33,OPEN,Enable server certificate validation on this SSL/TLS connection.,5min,2020-12-04T14:46:51-0300,2021-09-28T11:01:57-0300,VULNERABILITY
AXwstnWgFhMNhOYS4nk0,java:S4423,CRITICAL,spv-commons-maven.spv-commons-network:src/main/java/com/supervielle/assets/network/util/SSLUtils.java,spv-commons-maven.spv-commons-network,41,OPEN,Change this code to use a stronger protocol.,2min,2020-12-04T14:46:51-0300,2021-09-28T11:01:57-0300,VULNERABILITY
