key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AX0lnhw-FhMNhOYShU3i,tssecurity:S5147,BLOCKER,canales-electronicos.bff-hub-virtual:src/modules/poll/answer/answer.services.ts,canales-electronicos.bff-hub-virtual,25,OPEN,Change this code to not construct database queries directly from user-controlled data.,30min,2021-11-15T19:00:25-0300,2021-11-15T19:00:25-0300,VULNERABILITY
AX0lnhvBFhMNhOYShU3O,tssecurity:S5147,BLOCKER,canales-electronicos.bff-hub-virtual:src/modules/poll/entity/entity.services.ts,canales-electronicos.bff-hub-virtual,8,OPEN,Change this code to not construct database queries directly from user-controlled data.,30min,2021-11-15T19:00:25-0300,2021-11-15T19:00:25-0300,VULNERABILITY
AX0lnhxTFhMNhOYShU3q,tssecurity:S5147,BLOCKER,canales-electronicos.bff-hub-virtual:src/modules/poll/entityQuestion/entityQuestion.services.ts,canales-electronicos.bff-hub-virtual,8,OPEN,Change this code to not construct database queries directly from user-controlled data.,30min,2021-11-15T19:00:25-0300,2021-11-15T19:00:25-0300,VULNERABILITY
AX0lnhtuFhMNhOYShU29,tssecurity:S5147,BLOCKER,canales-electronicos.bff-hub-virtual:src/modules/poll/options/options.services.ts,canales-electronicos.bff-hub-virtual,8,OPEN,Change this code to not construct database queries directly from user-controlled data.,30min,2021-11-15T19:00:25-0300,2021-11-15T19:00:25-0300,VULNERABILITY
AX0lnhurFhMNhOYShU3G,tssecurity:S5147,BLOCKER,canales-electronicos.bff-hub-virtual:src/modules/poll/question/question.services.ts,canales-electronicos.bff-hub-virtual,7,OPEN,Change this code to not construct database queries directly from user-controlled data.,30min,2021-11-15T19:00:25-0300,2021-11-15T19:00:25-0300,VULNERABILITY
AX0lnhsYFhMNhOYShU2t,tssecurity:S5147,BLOCKER,canales-electronicos.bff-hub-virtual:src/modules/poll/type/type.services.ts,canales-electronicos.bff-hub-virtual,7,OPEN,Change this code to not construct database queries directly from user-controlled data.,30min,2021-11-15T19:00:25-0300,2021-11-15T19:00:25-0300,VULNERABILITY
AX0lnhsYFhMNhOYShU2s,tssecurity:S5147,BLOCKER,canales-electronicos.bff-hub-virtual:src/modules/poll/type/type.services.ts,canales-electronicos.bff-hub-virtual,35,OPEN,Change this code to not construct database queries directly from user-controlled data.,30min,2021-11-15T19:00:25-0300,2021-11-15T19:00:25-0300,VULNERABILITY
