key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXqcNOcpa0Lx9_s-p7md,csharpsquid:S4423,CRITICAL,factura-credito.api-factura-credito:Infrastructure/API.Factura.Credito.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.api-factura-credito,22,OPEN,Change this code to use a stronger protocol.,2min,2021-07-12T16:32:22-0300,2021-08-30T11:41:17-0300,VULNERABILITY
AXqcNOcpa0Lx9_s-p7me,csharpsquid:S4423,CRITICAL,factura-credito.api-factura-credito:Infrastructure/API.Factura.Credito.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.api-factura-credito,22,OPEN,Change this code to use a stronger protocol.,2min,2021-07-12T16:32:22-0300,2021-08-30T11:41:17-0300,VULNERABILITY
AXqcNOcpa0Lx9_s-p7mb,csharpsquid:S4830,CRITICAL,factura-credito.api-factura-credito:Infrastructure/API.Factura.Credito.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.api-factura-credito,37,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-07-12T16:32:22-0300,2021-07-12T16:32:22-0300,VULNERABILITY
AXqcNOcpa0Lx9_s-p7mc,csharpsquid:S4830,CRITICAL,factura-credito.api-factura-credito:Infrastructure/API.Factura.Credito.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.api-factura-credito,56,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-07-12T16:32:22-0300,2021-07-12T16:32:22-0300,VULNERABILITY
