key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AX2QHYH6FhMNhOYSJ45R,csharpsquid:S4423,CRITICAL,pagos.api-transferencias-empresas:Infrastructure/api_transferencias_empresas.Infrastructure.WebService/ServiceRegistration.cs,pagos.api-transferencias-empresas,23,OPEN,Change this code to use a stronger protocol.,2min,2021-12-06T11:19:45-0300,2021-12-06T11:19:45-0300,VULNERABILITY
AX2QHYH6FhMNhOYSJ45S,csharpsquid:S4423,CRITICAL,pagos.api-transferencias-empresas:Infrastructure/api_transferencias_empresas.Infrastructure.WebService/ServiceRegistration.cs,pagos.api-transferencias-empresas,23,OPEN,Change this code to use a stronger protocol.,2min,2021-12-06T11:19:45-0300,2021-12-06T11:19:45-0300,VULNERABILITY
AX2QHYH6FhMNhOYSJ45T,csharpsquid:S4830,CRITICAL,pagos.api-transferencias-empresas:Infrastructure/api_transferencias_empresas.Infrastructure.WebService/ServiceRegistration.cs,pagos.api-transferencias-empresas,78,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-12-06T11:19:45-0300,2021-12-06T11:19:45-0300,VULNERABILITY
