key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AX4mbUe2FhMNhOYSftz_,java:S5542,CRITICAL,autogestion.api-centro-de-contactos:src/main/java/com/supervielle/api/centrodecontactos/application/seguridad/Cifrador3DES.java,autogestion.api-centro-de-contactos,36,OPEN,Use secure mode and padding scheme.,,2022-01-04T15:49:28-0300,2022-01-04T15:49:28-0300,VULNERABILITY
AX4mbUe3FhMNhOYSft0A,java:S5547,CRITICAL,autogestion.api-centro-de-contactos:src/main/java/com/supervielle/api/centrodecontactos/application/seguridad/Cifrador3DES.java,autogestion.api-centro-de-contactos,36,OPEN,Use a strong cipher algorithm.,,2022-01-04T15:49:28-0300,2022-01-04T15:49:28-0300,VULNERABILITY
AX4mbUPTFhMNhOYSftzb,java:S3329,CRITICAL,autogestion.api-centro-de-contactos:src/main/java/com/supervielle/api/centrodecontactos/domain/usecase/Cifrador3DesRest.java,autogestion.api-centro-de-contactos,41,OPEN,"Use a dynamically-generated, random IV.",15min,2022-01-04T15:49:28-0300,2022-01-04T15:49:28-0300,VULNERABILITY
AX4mbUPTFhMNhOYSftzd,java:S5547,CRITICAL,autogestion.api-centro-de-contactos:src/main/java/com/supervielle/api/centrodecontactos/domain/usecase/Cifrador3DesRest.java,autogestion.api-centro-de-contactos,43,OPEN,Use a strong cipher algorithm.,,2022-01-04T15:49:28-0300,2022-01-04T15:49:28-0300,VULNERABILITY
AX4mbUPTFhMNhOYSftzj,java:S5547,CRITICAL,autogestion.api-centro-de-contactos:src/main/java/com/supervielle/api/centrodecontactos/domain/usecase/Cifrador3DesRest.java,autogestion.api-centro-de-contactos,55,OPEN,Use a strong cipher algorithm.,,2022-01-04T15:49:28-0300,2022-01-04T15:49:28-0300,VULNERABILITY
AX4mbUPTFhMNhOYSftzl,java:S3329,CRITICAL,autogestion.api-centro-de-contactos:src/main/java/com/supervielle/api/centrodecontactos/domain/usecase/Cifrador3DesRest.java,autogestion.api-centro-de-contactos,56,OPEN,"Use a dynamically-generated, random IV.",15min,2022-01-04T15:49:28-0300,2022-01-04T15:49:28-0300,VULNERABILITY
