key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXuDIJ90oWipgQEOPzmS,csharpsquid:S4423,CRITICAL,usuarios.api-usuarios:Spv.Usuarios.Api/Clients/HttpClientServiceExtension.cs,usuarios.api-usuarios,23,OPEN,Change this code to use a stronger protocol.,2min,2021-05-26T11:46:49-0300,2021-08-26T12:42:26-0300,VULNERABILITY
AXuDIJ90oWipgQEOPzmT,csharpsquid:S4423,CRITICAL,usuarios.api-usuarios:Spv.Usuarios.Api/Clients/HttpClientServiceExtension.cs,usuarios.api-usuarios,23,OPEN,Change this code to use a stronger protocol.,2min,2021-05-26T11:46:49-0300,2021-08-26T12:42:26-0300,VULNERABILITY
AXuDIJ90oWipgQEOPzmR,csharpsquid:S4830,CRITICAL,usuarios.api-usuarios:Spv.Usuarios.Api/Clients/HttpClientServiceExtension.cs,usuarios.api-usuarios,39,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-05-26T11:46:49-0300,2021-08-26T12:42:26-0300,VULNERABILITY
AXuDIKHYoWipgQEOPzmY,csharpsquid:S5547,CRITICAL,usuarios.api-usuarios:Spv.Usuarios.Service/Helpers/Encryption.cs,usuarios.api-usuarios,61,OPEN,Use a strong cipher algorithm.,,2021-05-26T11:46:49-0300,2021-08-26T12:42:26-0300,VULNERABILITY
AXuDIKHzoWipgQEOPzmZ,csharpsquid:S5547,CRITICAL,usuarios.api-usuarios:Spv.Usuarios.Service/Helpers/TDesEncryption.cs,usuarios.api-usuarios,29,OPEN,Use a strong cipher algorithm.,,2021-05-26T11:46:49-0300,2021-08-26T12:42:26-0300,VULNERABILITY
AXuDIKHzoWipgQEOPzma,csharpsquid:S5547,CRITICAL,usuarios.api-usuarios:Spv.Usuarios.Service/Helpers/TDesEncryption.cs,usuarios.api-usuarios,50,OPEN,Use a strong cipher algorithm.,,2021-05-26T11:46:49-0300,2021-08-26T12:42:26-0300,VULNERABILITY
