key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXo6Jzo7a0Lx9_s-Hiv8,java:S4830,CRITICAL,biometria-anses.bff-totem-anses:src/main/java/ar/com/totem/adapters/dto/AdapterRest.java,biometria-anses.bff-totem-anses,20,OPEN,Enable server certificate validation on this SSL/TLS connection.,5min,2021-06-23T15:34:11-0300,2021-06-23T15:34:11-0300,VULNERABILITY
AXo6Jzo7a0Lx9_s-Hiv9,java:S4830,CRITICAL,biometria-anses.bff-totem-anses:src/main/java/ar/com/totem/adapters/dto/AdapterRest.java,biometria-anses.bff-totem-anses,21,OPEN,Enable server certificate validation on this SSL/TLS connection.,5min,2021-06-23T15:34:11-0300,2021-06-23T15:34:11-0300,VULNERABILITY
AXo6J0CFa0Lx9_s-Hi1o,javasecurity:S3649,BLOCKER,biometria-anses.bff-totem-anses:src/main/java/ar/com/totem/dao/DaoFacadeImpl.java,biometria-anses.bff-totem-anses,48,OPEN,Change this code to not construct SQL queries directly from user-controlled data.,30min,2021-06-23T15:34:11-0300,2021-06-23T15:34:11-0300,VULNERABILITY
