key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXv55C83FhMNhOYS_lxJ,csharpsquid:S4830,CRITICAL,factura-credito.bff-obe-factura-credito:Infrastructure/BFF.Obe.Factura.Credito.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.bff-obe-factura-credito,42,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-09-18T14:11:17-0300,2021-09-18T14:11:17-0300,VULNERABILITY
AXqcNL82a0Lx9_s-p6S6,csharpsquid:S4423,CRITICAL,factura-credito.bff-obe-factura-credito:Infrastructure/BFF.Obe.Factura.Credito.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.bff-obe-factura-credito,23,OPEN,Change this code to use a stronger protocol.,2min,2021-07-12T16:32:10-0300,2021-08-30T11:40:52-0300,VULNERABILITY
AXqcNL82a0Lx9_s-p6S7,csharpsquid:S4423,CRITICAL,factura-credito.bff-obe-factura-credito:Infrastructure/BFF.Obe.Factura.Credito.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.bff-obe-factura-credito,23,OPEN,Change this code to use a stronger protocol.,2min,2021-07-12T16:32:10-0300,2021-08-30T11:40:52-0300,VULNERABILITY
AXqcNL82a0Lx9_s-p6S8,csharpsquid:S4830,CRITICAL,factura-credito.bff-obe-factura-credito:Infrastructure/BFF.Obe.Factura.Credito.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.bff-obe-factura-credito,61,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-07-12T16:32:10-0300,2021-07-12T16:32:10-0300,VULNERABILITY
AXqcNL82a0Lx9_s-p6S9,csharpsquid:S4830,CRITICAL,factura-credito.bff-obe-factura-credito:Infrastructure/BFF.Obe.Factura.Credito.Infrastructure.WebService/ServiceRegistration.cs,factura-credito.bff-obe-factura-credito,80,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-07-12T16:32:10-0300,2021-07-12T16:32:10-0300,VULNERABILITY
