key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXpE4dTYa0Lx9_s-aSyt,csharpsquid:S4830,CRITICAL,cheques.ms-echeq-operaciones:spv.echeck.operations.api/Clients/HttpClientServiceExtension.cs,cheques.ms-echeq-operaciones,39,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-25T17:34:35-0300,2021-06-25T17:34:35-0300,VULNERABILITY
AXpE4dTYa0Lx9_s-aSyu,csharpsquid:S4830,CRITICAL,cheques.ms-echeq-operaciones:spv.echeck.operations.api/Clients/HttpClientServiceExtension.cs,cheques.ms-echeq-operaciones,60,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-25T17:34:35-0300,2021-06-25T17:34:35-0300,VULNERABILITY
AXpE4dTYa0Lx9_s-aSyv,csharpsquid:S4830,CRITICAL,cheques.ms-echeq-operaciones:spv.echeck.operations.api/Clients/HttpClientServiceExtension.cs,cheques.ms-echeq-operaciones,79,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-25T17:34:35-0300,2021-06-25T17:34:35-0300,VULNERABILITY
