key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AX4MLKiZFhMNhOYSR3Ht,csharpsquid:S4423,CRITICAL,pagos.bff-obe-agenda:Infrastructure/Bff.Obe.Agenda.Infrastructure.WebService/ServiceRegistration.cs,pagos.bff-obe-agenda,20,OPEN,Change this code to use a stronger protocol.,2min,2021-12-30T13:29:12-0300,2021-12-30T13:29:12-0300,VULNERABILITY
AX4MLKiZFhMNhOYSR3Hu,csharpsquid:S4423,CRITICAL,pagos.bff-obe-agenda:Infrastructure/Bff.Obe.Agenda.Infrastructure.WebService/ServiceRegistration.cs,pagos.bff-obe-agenda,20,OPEN,Change this code to use a stronger protocol.,2min,2021-12-30T13:29:12-0300,2021-12-30T13:29:12-0300,VULNERABILITY
AX4MLKiZFhMNhOYSR3Hv,csharpsquid:S4830,CRITICAL,pagos.bff-obe-agenda:Infrastructure/Bff.Obe.Agenda.Infrastructure.WebService/ServiceRegistration.cs,pagos.bff-obe-agenda,35,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-12-30T13:29:12-0300,2021-12-30T13:29:12-0300,VULNERABILITY
