key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXv1jp-rFhMNhOYS_E54,csharpsquid:S4423,CRITICAL,cheques.api-echeq-chequera-virtual:Spv.Echeck.Virtual.Checkbook.Api/Clients/HttpClientServiceExtension.cs,cheques.api-echeq-chequera-virtual,24,OPEN,Change this code to use a stronger protocol.,2min,2021-09-17T17:59:18-0300,2021-09-17T17:59:18-0300,VULNERABILITY
AXv1jp-rFhMNhOYS_E55,csharpsquid:S4423,CRITICAL,cheques.api-echeq-chequera-virtual:Spv.Echeck.Virtual.Checkbook.Api/Clients/HttpClientServiceExtension.cs,cheques.api-echeq-chequera-virtual,24,OPEN,Change this code to use a stronger protocol.,2min,2021-09-17T17:59:18-0300,2021-09-17T17:59:18-0300,VULNERABILITY
AXv1jp-rFhMNhOYS_E52,csharpsquid:S4830,CRITICAL,cheques.api-echeq-chequera-virtual:Spv.Echeck.Virtual.Checkbook.Api/Clients/HttpClientServiceExtension.cs,cheques.api-echeq-chequera-virtual,41,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-09-17T17:59:18-0300,2021-09-17T17:59:18-0300,VULNERABILITY
AXv1jp-rFhMNhOYS_E53,csharpsquid:S4830,CRITICAL,cheques.api-echeq-chequera-virtual:Spv.Echeck.Virtual.Checkbook.Api/Clients/HttpClientServiceExtension.cs,cheques.api-echeq-chequera-virtual,59,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-09-17T17:59:18-0300,2021-09-17T17:59:18-0300,VULNERABILITY
