key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXpEw8Hna0Lx9_s-Z_5J,csharpsquid:S4423,CRITICAL,cheques.bff-backoffice-echeq:Spv.Echeck.Backoffice.Api/Clients/HttpClientServiceExtension.cs,cheques.bff-backoffice-echeq,23,OPEN,Change this code to use a stronger protocol.,2min,2021-06-25T17:01:47-0300,2021-09-01T14:23:24-0300,VULNERABILITY
AXpEw8Hna0Lx9_s-Z_5K,csharpsquid:S4423,CRITICAL,cheques.bff-backoffice-echeq:Spv.Echeck.Backoffice.Api/Clients/HttpClientServiceExtension.cs,cheques.bff-backoffice-echeq,23,OPEN,Change this code to use a stronger protocol.,2min,2021-06-25T17:01:47-0300,2021-09-01T14:23:24-0300,VULNERABILITY
AXpEw8Hna0Lx9_s-Z_5L,csharpsquid:S4830,CRITICAL,cheques.bff-backoffice-echeq:Spv.Echeck.Backoffice.Api/Clients/HttpClientServiceExtension.cs,cheques.bff-backoffice-echeq,39,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-25T17:01:47-0300,2021-06-25T17:01:47-0300,VULNERABILITY
AXpEw8Hna0Lx9_s-Z_5M,csharpsquid:S4830,CRITICAL,cheques.bff-backoffice-echeq:Spv.Echeck.Backoffice.Api/Clients/HttpClientServiceExtension.cs,cheques.bff-backoffice-echeq,60,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-25T17:01:47-0300,2021-06-25T17:01:47-0300,VULNERABILITY
