key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXpTVKu0a0Lx9_s-eUfo,csharpsquid:S4423,CRITICAL,cheques.ms-echeq-actualizacion-estado:spv.echeck.status.change.Api/Clients/HttpClientServiceExtension.cs,cheques.ms-echeq-actualizacion-estado,23,OPEN,Change this code to use a stronger protocol.,2min,2021-06-28T12:54:47-0300,2021-09-01T18:57:13-0300,VULNERABILITY
AXpTVKu0a0Lx9_s-eUfp,csharpsquid:S4423,CRITICAL,cheques.ms-echeq-actualizacion-estado:spv.echeck.status.change.Api/Clients/HttpClientServiceExtension.cs,cheques.ms-echeq-actualizacion-estado,23,OPEN,Change this code to use a stronger protocol.,2min,2021-06-28T12:54:47-0300,2021-09-01T18:57:13-0300,VULNERABILITY
AXpTVKu0a0Lx9_s-eUfn,csharpsquid:S4830,CRITICAL,cheques.ms-echeq-actualizacion-estado:spv.echeck.status.change.Api/Clients/HttpClientServiceExtension.cs,cheques.ms-echeq-actualizacion-estado,38,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-28T12:54:47-0300,2021-06-28T12:54:47-0300,VULNERABILITY
