key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXnSbTiya0Lx9_s-mE6j,csharpsquid:S4423,CRITICAL,pago-a-proveedores.ms-pap-ejecucion:Spv.Pap.Ejecucion.Api/Clients/HttpClientServiceExtension.cs,pago-a-proveedores.ms-pap-ejecucion,22,OPEN,Change this code to use a stronger protocol.,2min,2021-06-03T12:10:12-0300,2021-09-15T12:38:42-0300,VULNERABILITY
AXnSbTiya0Lx9_s-mE6k,csharpsquid:S4423,CRITICAL,pago-a-proveedores.ms-pap-ejecucion:Spv.Pap.Ejecucion.Api/Clients/HttpClientServiceExtension.cs,pago-a-proveedores.ms-pap-ejecucion,22,OPEN,Change this code to use a stronger protocol.,2min,2021-06-03T12:10:12-0300,2021-09-15T12:38:42-0300,VULNERABILITY
AXnSbTiya0Lx9_s-mE6l,csharpsquid:S4830,CRITICAL,pago-a-proveedores.ms-pap-ejecucion:Spv.Pap.Ejecucion.Api/Clients/HttpClientServiceExtension.cs,pago-a-proveedores.ms-pap-ejecucion,61,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-03T12:10:12-0300,2021-06-03T12:10:12-0300,VULNERABILITY
