key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AX04mCAUFhMNhOYS_hY0,csharpsquid:S4423,CRITICAL,recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Cobros/ServiceRegistration.cs,recaudaciones.bff-obe-recaudaciones,22,OPEN,Change this code to use a stronger protocol.,2min,2021-11-19T11:26:58-0300,2021-11-19T13:05:01-0300,VULNERABILITY
AX04mCAUFhMNhOYS_hYz,csharpsquid:S4423,CRITICAL,recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Cobros/ServiceRegistration.cs,recaudaciones.bff-obe-recaudaciones,22,OPEN,Change this code to use a stronger protocol.,2min,2021-11-19T11:26:58-0300,2021-11-19T13:05:01-0300,VULNERABILITY
AX04mCAUFhMNhOYS_hY1,csharpsquid:S4830,CRITICAL,recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Cobros/ServiceRegistration.cs,recaudaciones.bff-obe-recaudaciones,37,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-11-19T11:26:58-0300,2021-11-19T13:05:01-0300,VULNERABILITY
AX04mB_6FhMNhOYS_hYw,csharpsquid:S4423,CRITICAL,recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Parametria/ServiceRegistration.cs,recaudaciones.bff-obe-recaudaciones,22,OPEN,Change this code to use a stronger protocol.,2min,2021-11-19T11:26:58-0300,2021-11-19T13:05:01-0300,VULNERABILITY
AX04mB_6FhMNhOYS_hYx,csharpsquid:S4423,CRITICAL,recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Parametria/ServiceRegistration.cs,recaudaciones.bff-obe-recaudaciones,22,OPEN,Change this code to use a stronger protocol.,2min,2021-11-19T11:26:58-0300,2021-11-19T13:05:01-0300,VULNERABILITY
AX04mB_6FhMNhOYS_hYy,csharpsquid:S4830,CRITICAL,recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Parametria/ServiceRegistration.cs,recaudaciones.bff-obe-recaudaciones,44,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-11-19T11:26:58-0300,2021-11-19T13:05:01-0300,VULNERABILITY
AX04mCBdFhMNhOYS_hY5,csharpsquid:S4423,CRITICAL,recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Publicaciones/ServiceRegistration.cs,recaudaciones.bff-obe-recaudaciones,23,OPEN,Change this code to use a stronger protocol.,2min,2021-11-19T11:26:58-0300,2021-11-19T13:05:01-0300,VULNERABILITY
AX04mCBdFhMNhOYS_hY6,csharpsquid:S4423,CRITICAL,recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Publicaciones/ServiceRegistration.cs,recaudaciones.bff-obe-recaudaciones,23,OPEN,Change this code to use a stronger protocol.,2min,2021-11-19T11:26:58-0300,2021-11-19T13:05:01-0300,VULNERABILITY
AX04mCBdFhMNhOYS_hY4,csharpsquid:S4830,CRITICAL,recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Publicaciones/ServiceRegistration.cs,recaudaciones.bff-obe-recaudaciones,44,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-11-19T11:26:58-0300,2021-11-19T13:05:01-0300,VULNERABILITY
