key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXpEt3y0a0Lx9_s-Z21L,csharpsquid:S4830,CRITICAL,cheques.job-cheques-custodia-automatica:spv.echeck.automatic.custody.Api/Clients/HttpClientServiceExtension.cs,cheques.job-cheques-custodia-automatica,37,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-25T16:48:21-0300,2021-06-25T16:48:21-0300,VULNERABILITY
AXpEt3y0a0Lx9_s-Z21M,csharpsquid:S4830,CRITICAL,cheques.job-cheques-custodia-automatica:spv.echeck.automatic.custody.Api/Clients/HttpClientServiceExtension.cs,cheques.job-cheques-custodia-automatica,56,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-25T16:48:21-0300,2021-06-25T16:48:21-0300,VULNERABILITY
AXpEt3y0a0Lx9_s-Z21N,csharpsquid:S4830,CRITICAL,cheques.job-cheques-custodia-automatica:spv.echeck.automatic.custody.Api/Clients/HttpClientServiceExtension.cs,cheques.job-cheques-custodia-automatica,74,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-25T16:48:21-0300,2021-06-25T16:48:21-0300,VULNERABILITY
