key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXOml0dGDsuk3SE5JAsV,java:S4830,CRITICAL,mobile.be-middleware:midcanales/src/main/java/ar/com/supervielle/midcanales/servicios/ws/rest/RestServiciosBiometricos.java,mobile.be-middleware,63,OPEN,Enable server certificate validation on this SSL/TLS connection.,5min,2020-07-31T17:34:16-0300,2020-07-31T17:34:16-0300,VULNERABILITY
AXOml0dGDsuk3SE5JAsW,java:S4830,CRITICAL,mobile.be-middleware:midcanales/src/main/java/ar/com/supervielle/midcanales/servicios/ws/rest/RestServiciosBiometricos.java,mobile.be-middleware,67,OPEN,Enable server certificate validation on this SSL/TLS connection.,5min,2020-07-31T17:34:16-0300,2020-07-31T17:34:16-0300,VULNERABILITY
AXOml0dGDsuk3SE5JAsZ,java:S5527,CRITICAL,mobile.be-middleware:midcanales/src/main/java/ar/com/supervielle/midcanales/servicios/ws/rest/RestServiciosBiometricos.java,mobile.be-middleware,86,OPEN,Enable server hostname verification on this SSL/TLS connection.,5min,2020-07-31T17:34:16-0300,2020-07-31T17:34:16-0300,VULNERABILITY
AXOml0dbDsuk3SE5JAs9,java:S4830,CRITICAL,mobile.be-middleware:midcanales/src/main/java/ar/com/supervielle/midcanales/servicios/ws/rest/RestServiciosBiometricosFacephi.java,mobile.be-middleware,64,OPEN,Enable server certificate validation on this SSL/TLS connection.,5min,2020-07-31T17:34:16-0300,2020-07-31T17:34:16-0300,VULNERABILITY
AXOml0dbDsuk3SE5JAs-,java:S4830,CRITICAL,mobile.be-middleware:midcanales/src/main/java/ar/com/supervielle/midcanales/servicios/ws/rest/RestServiciosBiometricosFacephi.java,mobile.be-middleware,68,OPEN,Enable server certificate validation on this SSL/TLS connection.,5min,2020-07-31T17:34:16-0300,2020-07-31T17:34:16-0300,VULNERABILITY
AXOml0dbDsuk3SE5JAtB,java:S5527,CRITICAL,mobile.be-middleware:midcanales/src/main/java/ar/com/supervielle/midcanales/servicios/ws/rest/RestServiciosBiometricosFacephi.java,mobile.be-middleware,87,OPEN,Enable server hostname verification on this SSL/TLS connection.,5min,2020-07-31T17:34:16-0300,2020-07-31T17:34:16-0300,VULNERABILITY
